,date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,cCFR,cum_subn,newCases_regression,real_newCases,Re,Re_ub,Re_lb
44,2020-05-03,Brazil,MA,São Luís/MA,2111300,11,197,64,2963,17.87847,268.90308,0.06649,SES,0.061189072108248074,0.10737211357572436,192.31386433037227,2506,1.4481899345295381,1.4661707394505359,1.4305130023927486
45,2020-05-04,Brazil,MA,São Luís/MA,2111300,16,213,125,3088,19.33053,280.24728999999996,0.06898,SES,0.06189350190720721,0.10615007710906328,197.35420083063582,2202,1.413927220474321,1.4323670017091419,1.395658137417878
46,2020-05-05,Brazil,MA,São Luís/MA,2111300,14,227,280,3368,20.60108,305.65831000000003,0.0674,SES,0.06199307376069843,0.10597958128937243,202.02031462377772,1930,1.3576224407304613,1.3739550162460783,1.3402574663701312
47,2020-05-06,Brazil,MA,São Luís/MA,2111300,11,238,163,3531,21.59937,320.45115,0.0674,SES,0.0625981183603412,0.1049552314365155,206.2994582478203,2255,1.3056943194894814,1.321126502770599,1.2882821831295457
48,2020-05-07,Brazil,MA,São Luís/MA,2111300,17,255,214,3745,23.14218,339.87244,0.06809,SES,0.06322616361908576,0.10391267829536234,210.18271467576793,2364,1.2739276174613507,1.2901385683383206,1.2584810540093836
49,2020-05-08,Brazil,MA,São Luís/MA,2111300,16,271,263,4008,24.59424,363.74065,0.06761,SES,0.0638845688810503,0.1028417365112535,213.66493765524154,2437,1.2461831273038406,1.2607510251638319,1.2320431025026266
50,2020-05-09,Brazil,MA,São Luís/MA,2111300,18,289,266,4274,26.227809999999998,387.88112,0.06762,SES,0.06386423561288863,0.10287447954163079,216.7446401225776,2106,1.2032773313179368,1.2174348495371263,1.1899338383459512
51,2020-05-10,Brazil,MA,São Luís/MA,2111300,14,303,342,4616,27.498359999999998,418.91887,0.06564,SES,0.06388049310147455,0.10284829814265077,219.4238365844181,2165,1.1781711787237177,1.1921326582422367,1.1630249650209497
52,2020-05-11,Brazil,MA,São Luís/MA,2111300,21,324,164,4780,29.40418,433.80247,0.06777999999999999,SES,0.06381360227107177,0.10295610600529188,221.7078459139068,2098,1.1583300789985018,1.1728581792771644,1.1449932309049988
53,2020-05-12,Brazil,MA,São Luís/MA,2111300,8,332,137,4917,30.130209999999998,446.23572,0.06752000000000001,SES,0.06368122392028708,0.1031701276379988,223.60506134453118,2054,1.128483021301745,1.141988685207287,1.115179411026065
54,2020-05-13,Brazil,MA,São Luís/MA,2111300,14,346,123,5040,31.40076,457.39842000000004,0.06865,SES,0.0637256325698259,0.10309823119921287,225.12669457536174,2285,1.104679373439555,1.1167217609461162,1.0915617650560527
55,2020-05-14,Brazil,MA,São Luís/MA,2111300,17,363,335,5375,32.94358,487.80089000000004,0.06752999999999999,SES,0.06359202425869036,0.10331484296322203,226.28650084521112,2112,1.0797432989669087,1.0930461871137078,1.0678804413867848
56,2020-05-15,Brazil,MA,São Luís/MA,2111300,16,379,222,5597,34.39564,507.94820999999996,0.06771,SES,0.06360713776375726,0.103290294627021,227.10049161259207,2292,1.0489813636656362,1.0605833461613732,1.0383565238523904
57,2020-05-16,Brazil,MA,São Luís/MA,2111300,15,394,233,5830,35.75694,529.09381,0.06758,SES,0.06365361540169091,0.10321487567578876,227.58664111849723,2306,1.0216061914864503,1.033131501950932,1.010913491626291
58,2020-05-17,Brazil,MA,São Luís/MA,2111300,8,402,165,5995,36.48297,544.0681599999999,0.06706000000000001,SES,0.0640680410357559,0.10254722781883298,227.76459263666507,2609,1.0212522994436664,1.0323755055967418,1.009375503752029
59,2020-05-18,Brazil,MA,São Luís/MA,2111300,12,414,253,6248,37.57201,567.02883,0.06626,SES,0.0642661635458559,0.10223109078717763,227.65536965815858,2469,1.0316123441487912,1.0427899138243972,1.0184962789192256
60,2020-05-19,Brazil,MA,São Luís/MA,2111300,20,434,231,6479,39.38709,587.99293,0.06699,SES,0.06447718117896131,0.10189651408246998,227.28109664012567,2444,1.0352149620673536,1.0475378509527822,1.023534818767511
61,2020-05-20,Brazil,MA,São Luís/MA,2111300,14,448,160,6639,40.65764,602.51351,0.06748,SES,0.06492783084473984,0.10118927299004742,226.6647332973383,2593,1.0402662173557398,1.0508955581745762,1.027920123877971
62,2020-05-21,Brazil,MA,São Luís/MA,2111300,15,463,46,6685,42.01894,606.68818,0.06926,SES,0.06516339846219116,0.1008234707680573,225.82982575217372,2477,1.0369668937273633,1.04864054330353,1.025218867923504
63,2020-05-22,Brazil,MA,São Luís/MA,2111300,12,475,429,7114,43.10799,645.6215,0.06677000000000001,SES,0.06507238484178601,0.10096448771585664,224.80027720416615,2185,1.030594506893594,1.0412145143630704,1.0200332677404
64,2020-05-23,Brazil,MA,São Luís/MA,2111300,9,484,372,7486,43.92477,679.38186,0.06465,SES,0.06578632101102781,0.0998687857753691,223.6001401511759,3004,1.0497603091731476,1.0607081561157905,1.037431573059601
65,2020-05-24,Brazil,MA,São Luís/MA,2111300,6,490,431,7917,44.46929,718.49668,0.06189,SES,0.06595272333764346,0.09961681136903226,222.2534316047037,2367,1.0506072457693945,1.0611952892133478,1.0393900471013806
66,2020-05-25,Brazil,MA,São Luís/MA,2111300,7,497,151,8068,45.10457,732.2004900000001,0.0616,SES,0.06590555239459014,0.09968811065665688,220.78397220290333,2059,1.0439313695195633,1.0548231332573348,1.0325860795139128
67,2020-05-26,Brazil,MA,São Luís/MA,2111300,12,509,285,8353,46.19361,758.06528,0.06094,SES,0.06597752730938143,0.09957936085103637,219.2152496445436,2247,1.033870558289428,1.0448509189348019,1.0219732056975832
68,2020-05-27,Brazil,MA,São Luís/MA,2111300,8,517,110,8463,46.91964,768.04818,0.06109,SES,0.06593997034466875,0.0996360775665891,217.5703064509062,2222,1.0269286809653202,1.0387563257465322,1.0155009780040576
69,2020-05-28,Brazil,MA,São Luís/MA,2111300,2,519,237,8700,47.10115,789.5568,0.059660000000000005,SES,0.06590704221313325,0.09968585722226207,215.87165171342696,1985,1.0070962545084714,1.0185575117872885,0.9948003678233353
70,2020-05-29,Brazil,MA,São Luís/MA,2111300,2,521,182,8882,47.28265,806.0739599999999,0.058660000000000004,SES,0.06588132885200608,0.09972476442845679,214.1411962036272,2130,0.9939527224976834,1.0046691127073824,0.9829478327740886
71,2020-05-30,Brazil,MA,São Luís/MA,2111300,3,524,259,9141,47.55492,829.57916,0.05732,SES,0.06586364836632608,0.09975153461676481,212.4002100077826,2069,0.9730890531733478,0.9847055024000575,0.9628512048969851
72,2020-05-31,Brazil,MA,São Luís/MA,2111300,2,526,114,9255,47.73642,839.9250699999999,0.05683,SES,0.06585213991248878,0.09976896739773232,210.66930169964346,2111,0.9606828707211645,0.9717374613147595,0.9507458545487708
73,2020-06-01,Brazil,MA,São Luís/MA,2111300,2,528,192,9447,47.91793,857.3497800000001,0.055889999999999995,SES,0.06595603150858029,0.09961181486708008,208.96841797717084,2255,0.9566083526620617,0.9674657990460094,0.9458057665091167
74,2020-06-02,Brazil,MA,São Luís/MA,2111300,7,535,143,9590,48.55321,870.32755,0.05579,SES,0.06594947981622513,0.09962171071414008,207.3168626599053,2046,0.9449614607222947,0.9554033818250532,0.9346988601832676
75,2020-06-03,Brazil,MA,São Luís/MA,2111300,3,538,327,9917,48.82547,900.00399,0.05425,SES,0.06594396395721369,0.09963004353609684,205.73333396810932,2015,0.938712345088521,0.9503313129884181,0.928492103818245
76,2020-06-04,Brazil,MA,São Luís/MA,2111300,6,544,18,9935,49.36999,901.63756,0.05476,SES,0.06593929246065412,0.09963710186790842,204.23597907905614,2139,0.9471335524229754,0.9574845560661529,0.9369286193699242
77,2020-06-05,Brazil,MA,São Luís/MA,2111300,5,549,135,10070,49.82376,913.8893,0.054520000000000006,SES,0.06593519726506757,0.09964329026859199,202.84246507592255,2028,0.9256423224077762,0.9360391744525853,0.9155447518767308
78,2020-06-06,Brazil,MA,São Luís/MA,2111300,8,557,424,10494,50.54979,952.36885,0.053079999999999995,SES,0.06593176422723032,0.09964847865069779,201.57006556727637,1984,0.9237159413980843,0.9346172557850438,0.9123574370288188
79,2020-06-07,Brazil,MA,São Luís/MA,2111300,11,568,119,10613,51.54808,963.16854,0.053520000000000005,SES,0.06592952565163034,0.09965186212192222,200.4357624574745,1999,0.934175572497865,0.9457518114348578,0.9232066023360459
80,2020-06-08,Brazil,MA,São Luís/MA,2111300,9,577,142,10755,52.36486,976.05556,0.05365,SES,0.06592848723586345,0.0996534317023747,199.4563625886582,2026,0.9396731528422334,0.9511315146160075,0.9276484794197204
81,2020-06-09,Brazil,MA,São Luís/MA,2111300,9,586,274,11029,53.18164,1000.92206,0.05313,SES,0.06592789396654933,0.0996543284597185,198.64862925285925,1946,0.9457339256464696,0.9571022733288077,0.9345875528370209
