Si,Sj,Ei,Ej,Ii,Ij,Ri,Rj,Hi,Hj,Ui,Uj,Mi,Mj
5598799.81865448,22405582.767834812,8.90066593744613e-08,3.561917085976894e-07,4.147474215978236e-07,1.6597588739276192e-06,36401200.18134504,145594417.23216322,1.3506080988932135e-07,3.16486818409108e-07,3.736018226922755e-08,6.317324661880847e-08,1.4955032135514436e-09,3.5204625903138926e-10
5598799.818654467,22405582.76783476,8.392623920610546e-08,3.3586060581415924e-07,3.9107401131293353e-07,1.565021328254395e-06,36401200.18134508,145594417.2321634,1.2735166018257202e-07,2.9842203510647577e-07,3.5227696626051486e-08,5.9567374450502924e-08,1.4101412334326006e-09,3.319517747855239e-10
5598799.818654455,22405582.76783471,7.913580485755719e-08,3.1668998411544107e-07,3.6875185802286124e-07,1.4756913165917874e-06,36401200.18134512,145594417.23216355,1.2008254181595336e-07,2.813883734071596e-07,3.3216931347682593e-08,5.616732222625125e-08,1.3296516384639741e-09,3.1300426565087904e-10
5598799.818654444,22405582.767834667,7.461880419869678e-08,2.986136042835964e-07,3.4770383319208654e-07,1.3914601817556968e-06,36401200.18134516,145594417.2321637,1.1322833819586882e-07,2.653269778163409e-07,3.13209387450524e-08,5.296134192855742e-08,1.2537563172777285e-09,2.951382633183575e-10
5598799.818654434,22405582.767834626,7.035962988012407e-08,2.815690079757486e-07,3.2785721071261725e-07,1.3120368844368463e-06,36401200.181345195,145594417.23216385,1.0676536636131946e-07,2.5018235225796917e-07,2.9533167696941856e-08,4.9938356106208324e-08,1.1821930328530943e-09,2.782920363511394e-10
5598799.818654424,22405582.767834585,6.634356540592362e-08,2.654973019151301e-07,3.091434156173803e-07,1.2371469975883115e-06,36401200.181345224,145594417.23216397,1.0067129515344339e-07,2.3590216832215717e-07,2.7847441014244903e-08,4.708791959895297e-08,1.1147145164228988e-09,2.624073768873693e-10
5598799.818654414,22405582.767834548,6.255673428454801e-08,2.503429544003114e-07,2.91497787136827e-07,1.1665317582125064e-06,36401200.181345254,145594417.23216408,9.492506805586438e-08,2.2243708445764251e-07,2.6257934096259482e-08,4.4400183446902566e-08,1.0510876130990932e-09,2.474293995176623e-10
5598799.818654405,22405582.76783451,5.8986052082122994e-08,2.3605360342950012e-07,2.748593552800539e-07,1.099947173271318e-06,36401200.181345284,145594417.2321642,8.950683043924405e-08,2.0974057548458106e-07,2.4759154805258294e-08,4.186586085994966e-08,9.91092476265212e-10,2.333063516425013e-10
5598799.818654397,22405582.767834477,5.5619181212507025e-08,2.22579875776933e-07,2.591706301684731e-07,1.0371631766300862e-06,36401200.181345314,145594417.23216432,8.439786095864958e-08,1.9776877183859673e-07,2.334592448980096e-08,3.947619512962214e-08,9.345218079521835e-10,2.1998943465426363e-10
5598799.818654388,22405582.767834444,5.2444488307893465e-08,2.0987521639622463e-07,2.443774033941272e-07,9.779628341224643e-07,36401200.181345336,145594417.2321644,7.958050686669814e-08,1.8648030799063665e-07,2.2013360091218473e-08,3.7222929372499907e-08,8.811801425728088e-10,2.0743263532601727e-10
5598799.818654381,22405582.767834414,4.945100402266061e-08,1.9789572756121995e-07,2.3042856071629317e-07,9.221415939894628e-07,36401200.18134536,145594417.2321645,7.503812301896873e-08,1.758361795188847e-07,2.0756857271443427e-08,3.509827800064999e-08,8.308831715400326e-10,1.9559256682449288e-10
5598799.818654373,22405582.767834384,4.6628385131581816e-08,1.866000171885425e-07,2.1727590544919596e-07,8.695065801027606e-07,36401200.18134538,145594417.2321646,7.075501436093052e-08,1.6579960833888179e-07,1.9572074503888533e-08,3.3094899820503674e-08,7.834571064353969e-10,1.8442831879789258e-10
5598799.818654367,22405582.767834358,4.3966878791435736e-08,1.7594905581775514e-07,2.0487399193059273e-07,8.198759255301931e-07,36401200.1813454,145594417.23216468,6.671638169766544e-08,1.5633591562618963e-07,1.8454918072403492e-08,3.12058726672255e-08,7.387380785272663e-10,1.7390131602055215e-10
5598799.81865436,22405582.76783433,4.145728884253178e-08,1.6590604175496499e-07,1.931799684958206e-07,7.730781441407248e-07,36401200.181345426,145594417.23216477,6.290827055900639e-08,1.4741240199251506e-07,1.7401527926477925e-08,2.9424669486929715e-08,6.965715725640154e-10,1.6397518510603863e-10
5598799.818654355,22405582.76783431,3.90909440337142e-08,1.5643627391391e-07,1.8215342941474492e-07,7.289515380776453e-07,36401200.18134545,145594417.23216486,5.931752298340738e-08,1.3899823450127303e-07,1.640826434381661e-08,2.774513578410226e-08,6.568118928857901e-10,1.5461562882814496e-10
5598799.818654349,22405582.767834287,3.68596680610544e-08,1.4750703191516238e-07,1.7175627528001327e-07,6.873436390526628e-07,36401200.18134546,145594417.23216492,5.593173205394704e-08,1.3106434013220006e-07,1.5471695354202934e-08,2.6161468356303697e-08,6.193216600101328e-10,1.4579030761552905e-10
5598799.8186543435,22405582.767834265,3.475575131670782e-08,1.3908746302916146e-07,1.6195258136422283e-07,6.48110681530429e-07,36401200.18134548,145594417.23216498,5.27391990293762e-08,1.2358330532691183e-07,1.4588584881196912e-08,2.4668195242676153e-08,5.839713359520451e-10,1.3746872781053256e-10
5598799.818654339,22405582.767834246,3.277192425032063e-08,1.3114847557243697e-07,1.5270847349114212e-07,6.111171059832183e-07,36401200.18134549,145594417.23216504,4.972889292208676e-08,1.1652928126830983e-07,1.3755881560694443e-08,2.326015681697147e-08,5.506387766383577e-10,1.296221363060858e-10
